No,R,I,A,S,E,C,Group
23371,0.538,0.569,0.699,0.658,0.591,0.636,70
23372,0.538,0.399,0.714,0.616,0.615,0.536,60
23373,0.538,0.391,0.416,0.547,0.439,0.578,14
23374,0.538,0.366,0.461,0.515,0.526,0.418,14
23375,0.538,0.482,0.496,0.577,0.503,0.517,14
23376,0.538,0.412,0.41,0.372,0.336,0.369,28
23377,0.538,0.72,0.602,0.705,0.513,0.563,47
23378,0.538,0.501,0.556,0.611,0.485,0.6,14
23379,0.538,0.498,0.859,0.714,0.599,0.551,70
23380,0.538,0.315,0.361,0.109,0.243,0.244,29
23381,0.538,0.45,0.72,0.51,0.499,0.521,14
23382,0.538,0.424,0.517,0.526,0.406,0.436,50
23383,0.538,0.572,0.253,0.352,0.433,0.372,31
23384,0.538,0.505,0.64,0.595,0.526,0.496,14
23385,0.538,0.502,0.543,0.592,0.523,0.479,14
23386,0.538,0.605,0.561,0.624,0.54,0.499,47
23387,0.538,0.488,0.512,0.481,0.484,0.488,14
23388,0.538,0.451,0.552,0.597,0.539,0.484,14
23389,0.538,0.575,0.673,0.728,0.628,0.69,70
23390,0.538,0.615,0.48,0.527,0.592,0.522,47
23391,0.538,0.57,0.383,0.494,0.493,0.593,14
23392,0.538,0.569,0.485,0.475,0.561,0.557,14
23393,0.538,0.473,0.624,0.694,0.507,0.527,60
23394,0.538,0.451,0.221,0.44,0.492,0.498,50
23395,0.538,0.518,0.612,0.613,0.558,0.532,47
23396,0.538,0.537,0.602,0.619,0.493,0.438,14
23397,0.538,0.505,0.339,0.574,0.593,0.528,14
23398,0.538,0.645,0.406,0.537,0.527,0.509,14
23399,0.538,0.396,0.445,0.577,0.342,0.491,50
23400,0.539,0.442,0.586,0.49,0.465,0.36,50
23401,0.539,0.466,0.495,0.527,0.458,0.433,14
23402,0.539,0.557,0.892,0.877,0.69,0.584,70
23403,0.539,0.365,0.561,0.609,0.384,0.453,24
23404,0.539,0.574,0.748,0.565,0.476,0.414,14
23405,0.539,0.381,0.372,0.402,0.51,0.388,50
23406,0.539,0.497,0.643,0.511,0.38,0.416,50
23407,0.539,0.465,0.44,0.492,0.392,0.388,50
23408,0.539,0.52,0.423,0.425,0.457,0.474,14
23409,0.539,0.525,0.679,0.504,0.457,0.589,14
23410,0.539,0.392,0.515,0.395,0.335,0.271,28
23411,0.539,0.461,0.658,0.668,0.764,0.683,22
23412,0.539,0.457,0.473,0.457,0.446,0.433,50
23413,0.539,0.504,0.763,0.411,0.396,0.404,50
23414,0.539,0.56,0.483,0.55,0.46,0.533,14
23415,0.539,0.409,0.413,0.422,0.44,0.492,50
23416,0.539,0.575,0.561,0.715,0.673,0.545,70
23417,0.539,0.533,0.401,0.464,0.468,0.488,14
23418,0.539,0.373,0.345,0.374,0.501,0.551,50
23419,0.539,0.564,0.509,0.583,0.458,0.476,14
23420,0.539,0.486,0.745,0.597,0.39,0.424,49
23421,0.539,0.453,0.596,0.652,0.506,0.452,14
23422,0.539,0.277,0.847,0.545,0.285,0.14,39
23423,0.539,0.363,0.593,0.542,0.371,0.43,24
23424,0.539,0.749,0.667,0.623,0.625,0.695,32
23425,0.539,0.417,0.754,0.724,0.554,0.403,60
23426,0.539,0.544,0.536,0.618,0.539,0.53,14
23427,0.539,0.532,0.722,0.46,0.38,0.416,50
23428,0.539,0.443,0.55,0.792,0.53,0.226,71
23429,0.539,0.357,0.415,0.588,0.544,0.498,14
23430,0.539,0.511,0.352,0.592,0.478,0.45,14
23431,0.539,0.492,0.569,0.483,0.381,0.449,50
23432,0.539,0.509,0.569,0.712,0.514,0.554,14
23433,0.539,0.498,0.595,0.648,0.692,0.474,66
23434,0.539,0.46,0.693,0.567,0.392,0.309,49
23435,0.539,0.562,0.578,0.795,0.619,0.568,70
23436,0.539,0.362,0.417,0.45,0.504,0.474,50
23437,0.539,0.549,0.615,0.649,0.609,0.632,47
23438,0.539,0.502,0.514,0.426,0.418,0.444,50
23439,0.539,0.474,0.439,0.497,0.523,0.484,14
23440,0.539,0.553,0.525,0.532,0.512,0.499,14
23441,0.539,0.508,0.465,0.499,0.53,0.457,14
23442,0.539,0.559,0.472,0.545,0.453,0.526,14
23443,0.539,0.237,0.118,0.138,0.454,0.096,29
23444,0.539,0.454,0.538,0.574,0.616,0.581,66
23445,0.539,0.507,0.499,0.48,0.462,0.479,14
23446,0.539,0.424,0.497,0.475,0.452,0.405,50
23447,0.539,0.48,0.705,0.599,0.357,0.377,49
23448,0.539,0.672,0.409,0.708,0.667,0.527,47
23449,0.539,0.748,0.615,0.727,0.544,0.475,33
23450,0.539,0.506,0.497,0.533,0.512,0.44,14
23451,0.539,0.414,0.581,0.62,0.491,0.511,14
23452,0.539,0.432,0.511,0.538,0.509,0.511,14
23453,0.539,0.453,0.521,0.538,0.493,0.429,14
23454,0.539,0.361,0.473,0.364,0.311,0.294,28
23455,0.539,0.492,0.513,0.506,0.516,0.491,14
23456,0.539,0.493,0.625,0.59,0.496,0.603,14
23457,0.539,0.508,0.525,0.575,0.395,0.319,50
23458,0.539,0.428,0.419,0.388,0.506,0.431,50
23459,0.539,0.487,0.458,0.451,0.446,0.447,50
23460,0.539,0.625,0.483,0.486,0.525,0.377,14
23461,0.539,0.568,0.53,0.542,0.518,0.489,14
23462,0.539,0.457,0.476,0.467,0.469,0.517,14
23463,0.539,0.48,0.531,0.607,0.521,0.571,14
23464,0.539,0.299,0.36,0.379,0.328,0.476,28
23465,0.539,0.496,0.463,0.402,0.466,0.479,50
23466,0.539,0.466,0.479,0.427,0.39,0.372,50
23467,0.539,0.536,0.802,0.644,0.682,0.593,70
23468,0.539,0.366,0.448,0.53,0.429,0.332,50
23469,0.539,0.571,0.582,0.59,0.437,0.471,14
23470,0.539,0.757,0.533,0.646,0.529,0.509,47
23471,0.539,0.51,0.517,0.499,0.514,0.485,14
23472,0.539,0.264,0.513,0.351,0.348,0.229,28
23473,0.539,0.394,0.322,0.488,0.343,0.321,28
23474,0.54,0.485,0.407,0.49,0.627,0.615,66
23475,0.54,0.163,0.667,0.346,0.079,0.17,4
23476,0.54,0.455,0.633,0.724,0.603,0.492,60
23477,0.54,0.524,0.528,0.492,0.574,0.507,14
23478,0.54,0.495,0.485,0.465,0.516,0.496,14
23479,0.54,0.358,0.476,0.394,0.305,0.348,28
23480,0.54,0.631,0.669,0.625,0.648,0.547,47
23481,0.54,0.562,0.521,0.527,0.487,0.378,14
23482,0.54,0.555,0.584,0.642,0.495,0.497,14
23483,0.54,0.492,0.583,0.691,0.56,0.562,47
23484,0.54,0.477,0.57,0.583,0.451,0.385,14
23485,0.54,0.555,0.544,0.508,0.489,0.484,14
23486,0.54,0.447,0.628,0.59,0.554,0.494,14
23487,0.54,0.459,0.577,0.549,0.41,0.399,50
23488,0.54,0.646,0.422,0.685,0.547,0.416,14
23489,0.54,0.489,0.34,0.477,0.579,0.599,14
23490,0.54,0.449,0.48,0.696,0.536,0.539,14
23491,0.54,0.518,0.469,0.606,0.523,0.416,14
23492,0.54,0.381,0.4,0.517,0.409,0.402,50
23493,0.54,0.613,0.715,0.613,0.601,0.576,47
23494,0.54,0.348,0.404,0.452,0.386,0.349,28
23495,0.54,0.413,0.412,0.413,0.355,0.391,28
23496,0.54,0.534,0.597,0.595,0.548,0.555,47
23497,0.54,0.525,0.664,0.63,0.492,0.514,14
23498,0.54,0.513,0.566,0.522,0.553,0.547,14
23499,0.54,0.565,0.737,0.697,0.593,0.521,70
23500,0.54,0.6,0.817,0.671,0.578,0.611,70
23501,0.54,0.478,0.583,0.495,0.484,0.507,14
23502,0.54,0.569,0.376,0.387,0.406,0.419,31
23503,0.54,0.424,0.43,0.485,0.556,0.394,14
23504,0.54,0.577,0.502,0.482,0.58,0.57,47
23505,0.54,0.418,0.586,0.521,0.462,0.442,14
23506,0.54,0.508,0.766,0.583,0.481,0.486,60
23507,0.54,0.484,0.567,0.365,0.381,0.388,50
23508,0.54,0.328,0.393,0.533,0.479,0.379,50
23509,0.54,0.561,0.499,0.5,0.471,0.514,14
23510,0.54,0.432,0.643,0.643,0.478,0.423,14
23511,0.54,0.394,0.692,0.461,0.294,0.312,49
23512,0.54,0.39,0.317,0.596,0.556,0.507,14
23513,0.54,0.585,0.546,0.526,0.575,0.506,14
23514,0.54,0.529,0.478,0.505,0.51,0.519,14
23515,0.54,0.428,0.588,0.494,0.475,0.557,14
23516,0.54,0.505,0.476,0.511,0.471,0.484,14
23517,0.54,0.478,0.609,0.469,0.505,0.493,14
23518,0.54,0.727,0.527,0.485,0.629,0.603,55
23519,0.54,0.541,0.481,0.557,0.58,0.52,14
23520,0.54,0.544,0.475,0.45,0.437,0.492,14
23521,0.54,0.479,0.572,0.513,0.486,0.431,14
23522,0.54,0.532,0.708,0.672,0.612,0.493,70
23523,0.54,0.593,0.598,0.58,0.534,0.503,14
23524,0.54,0.409,0.279,0.426,0.473,0.468,50
23525,0.54,0.658,0.63,0.675,0.62,0.473,47
23526,0.54,0.602,0.494,0.478,0.423,0.321,31
23527,0.54,0.532,0.394,0.393,0.486,0.441,50
23528,0.54,0.464,0.496,0.498,0.592,0.573,14
23529,0.54,0.688,0.427,0.544,0.524,0.427,14
23530,0.54,0.507,0.767,0.786,0.564,0.532,70
23531,0.54,0.452,0.521,0.595,0.552,0.46,14
23532,0.54,0.472,0.663,0.51,0.525,0.478,14
23533,0.54,0.571,0.525,0.702,0.614,0.833,22
23534,0.54,0.557,0.5,0.556,0.529,0.5,14
23535,0.54,0.484,0.248,0.629,0.561,0.437,14
23536,0.54,0.528,0.543,0.541,0.532,0.488,14
23537,0.54,0.44,0.567,0.569,0.397,0.447,50
23538,0.54,0.327,0.41,0.386,0.402,0.434,50
23539,0.54,0.393,0.396,0.648,0.482,0.522,14
23540,0.54,0.557,0.738,0.674,0.589,0.543,70
23541,0.54,0.54,0.563,0.554,0.497,0.469,14
23542,0.54,0.528,0.679,0.657,0.567,0.501,60
23543,0.54,0.498,0.551,0.599,0.519,0.517,14
23544,0.54,0.253,0.599,0.47,0.445,0.504,24
23545,0.541,0.683,0.486,0.743,0.723,0.496,32
23546,0.541,0.362,0.526,0.513,0.455,0.589,14
23547,0.541,0.44,0.748,0.511,0.481,0.456,14
23548,0.541,0.542,0.581,0.537,0.534,0.56,14
23549,0.541,0.496,0.458,0.488,0.446,0.492,14
23550,0.541,0.495,0.413,0.423,0.414,0.423,50
23551,0.541,0.413,0.485,0.5,0.464,0.494,14
23552,0.541,0.487,0.55,0.606,0.486,0.429,14
23553,0.541,0.454,0.526,0.639,0.489,0.479,14
23554,0.541,0.443,0.365,0.469,0.412,0.475,50
23555,0.541,0.771,0.459,0.524,0.546,0.554,55
23556,0.541,0.576,0.473,0.571,0.597,0.589,47
23557,0.541,0.492,0.601,0.675,0.589,0.548,47
23558,0.541,0.346,0.784,0.605,0.456,0.445,24
23559,0.541,0.587,0.762,0.758,0.659,0.672,70
23560,0.541,0.572,0.521,0.542,0.497,0.485,14
23561,0.541,0.449,0.402,0.484,0.44,0.41,50
23562,0.541,0.488,0.496,0.47,0.467,0.463,14
23563,0.541,0.87,0.573,0.674,0.605,0.616,51
23564,0.541,0.599,0.514,0.447,0.464,0.478,14
23565,0.541,0.703,0.73,0.624,0.758,0.655,32
23566,0.541,0.462,0.403,0.517,0.422,0.39,50
23567,0.541,0.346,0.281,0.353,0.311,0.284,28
23568,0.541,0.515,0.63,0.67,0.61,0.617,70
23569,0.541,0.26,0.849,0.478,0.535,0.575,25
23570,0.541,0.545,0.833,0.846,0.592,0.601,70
23571,0.541,0.587,0.381,0.456,0.48,0.514,14
23572,0.541,0.493,0.486,0.484,0.447,0.482,14
23573,0.541,0.462,0.475,0.653,0.456,0.427,14
23574,0.541,0.496,0.511,0.387,0.427,0.518,50
23575,0.541,0.484,0.487,0.467,0.46,0.484,14
23576,0.541,0.565,0.792,0.633,0.608,0.602,70
23577,0.541,0.521,0.405,0.371,0.393,0.406,50
23578,0.541,0.393,0.641,0.556,0.362,0.33,49
23579,0.541,0.337,0.372,0.409,0.417,0.372,28
23580,0.541,0.4,0.416,0.44,0.397,0.457,50
23581,0.541,0.533,0.503,0.541,0.522,0.499,14
23582,0.541,0.566,0.358,0.26,0.499,0.516,18
23583,0.541,0.43,0.479,0.502,0.5,0.481,14
23584,0.541,0.525,0.559,0.613,0.502,0.436,14
23585,0.541,0.131,0.155,0.191,0.13,0.102,19
23586,0.541,0.34,0.683,0.605,0.372,0.498,24
23587,0.541,0.472,0.486,0.561,0.515,0.493,14
23588,0.541,0.327,0.475,0.759,0.717,0.38,43
23589,0.541,0.525,0.443,0.44,0.468,0.477,14
23590,0.541,0.611,0.843,0.717,0.461,0.272,56
23591,0.541,0.437,0.508,0.614,0.443,0.404,14
23592,0.541,0.4,0.641,0.735,0.482,0.486,60
23593,0.541,0.284,0.563,0.507,0.426,0.24,15
23594,0.541,0.524,0.45,0.52,0.492,0.438,14
23595,0.541,0.411,0.454,0.41,0.339,0.26,28
23596,0.541,0.684,0.563,0.612,0.586,0.634,47
23597,0.541,0.459,0.396,0.496,0.431,0.423,50
23598,0.541,0.603,0.48,0.462,0.548,0.485,14
23599,0.541,0.488,0.344,0.367,0.457,0.473,50
23600,0.541,0.386,0.525,0.432,0.398,0.371,50
23601,0.541,0.496,0.348,0.469,0.521,0.404,14
23602,0.541,0.541,0.777,0.751,0.636,0.581,70
23603,0.541,0.354,0.679,0.516,0.376,0.302,49
23604,0.541,0.452,0.481,0.503,0.651,0.647,66
23605,0.541,0.2,0.308,0.24,0.281,0.189,12
23606,0.542,0.284,0.555,0.41,0.395,0.393,50
23607,0.542,0.509,0.667,0.724,0.601,0.532,70
23608,0.542,0.333,0.429,0.496,0.602,0.628,38
23609,0.542,0.571,0.556,0.612,0.59,0.554,47
23610,0.542,0.402,0.785,0.631,0.507,0.449,60
23611,0.542,0.454,0.54,0.569,0.454,0.46,14
23612,0.542,0.636,0.431,0.577,0.613,0.489,47
23613,0.542,0.479,0.579,0.561,0.494,0.431,14
23614,0.542,0.462,0.375,0.385,0.815,0.605,38
23615,0.542,0.674,0.346,0.448,0.651,0.703,63
23616,0.542,0.522,0.588,0.669,0.621,0.564,47
23617,0.542,0.402,0.455,0.58,0.462,0.383,50
23618,0.542,0.553,0.489,0.627,0.522,0.518,14
23619,0.542,0.512,0.453,0.526,0.575,0.525,14
23620,0.542,0.546,0.558,0.538,0.509,0.485,14
23621,0.542,0.396,0.424,0.423,0.419,0.472,50
23622,0.542,0.413,0.549,0.466,0.431,0.455,50
23623,0.542,0.478,0.397,0.458,0.413,0.45,50
23624,0.542,0.528,0.646,0.609,0.509,0.508,14
23625,0.542,0.497,0.284,0.199,0.378,0.387,2
23626,0.542,0.461,0.495,0.307,0.312,0.334,28
23627,0.542,0.483,0.424,0.539,0.475,0.489,14
23628,0.542,0.5,0.488,0.504,0.479,0.438,14
23629,0.542,0.5,0.502,0.589,0.546,0.51,14
23630,0.542,0.447,0.183,0.344,0.495,0.525,18
23631,0.542,0.577,0.556,0.688,0.565,0.497,47
23632,0.542,0.613,0.467,0.416,0.368,0.288,37
23633,0.542,0.415,0.546,0.633,0.498,0.431,14
23634,0.542,0.596,0.592,0.623,0.59,0.569,47
23635,0.542,0.421,0.47,0.447,0.612,0.49,14
23636,0.542,0.482,0.514,0.473,0.491,0.503,14
23637,0.542,0.787,0.488,0.566,0.664,0.699,51
23638,0.542,0.373,0.385,0.376,0.367,0.39,28
23639,0.542,0.47,0.636,0.878,0.772,0.412,43
23640,0.542,0.24,0.857,0.653,0.437,0.301,71
23641,0.542,0.407,0.62,0.585,0.523,0.416,14
23642,0.542,0.495,0.499,0.497,0.428,0.433,50
23643,0.542,0.406,0.552,0.615,0.547,0.662,66
23644,0.542,0.58,0.496,0.598,0.531,0.455,14
23645,0.542,0.342,0.278,0.399,0.504,0.356,50
23646,0.542,0.491,0.69,0.797,0.596,0.678,70
23647,0.542,0.416,0.404,0.467,0.448,0.422,50
23648,0.542,0.824,0.253,0.346,0.515,0.475,17
23649,0.542,0.599,0.442,0.485,0.443,0.386,31
23650,0.542,0.464,0.866,0.639,0.458,0.46,60
23651,0.542,0.381,0.367,0.465,0.458,0.376,50
23652,0.542,0.547,0.577,0.559,0.491,0.484,14
23653,0.542,0.495,0.438,0.462,0.455,0.385,50
23654,0.542,0.48,0.682,0.617,0.481,0.453,14
23655,0.542,0.47,0.628,0.601,0.45,0.456,14
23656,0.542,0.47,0.579,0.476,0.434,0.395,50
23657,0.542,0.461,0.535,0.468,0.357,0.357,50
23658,0.542,0.649,0.481,0.377,0.533,0.504,14
23659,0.542,0.455,0.756,0.654,0.501,0.502,60
23660,0.542,0.59,0.672,0.551,0.664,0.505,47
23661,0.542,0.367,0.522,0.429,0.326,0.7,40
23662,0.542,0.425,0.42,0.396,0.446,0.478,50
23663,0.542,0.427,0.406,0.513,0.533,0.526,14
23664,0.542,0.751,0.712,0.751,0.74,0.654,23
23665,0.542,0.624,0.766,0.697,0.516,0.487,60
23666,0.542,0.576,0.392,0.445,0.427,0.453,31
23667,0.542,0.726,0.701,0.484,0.461,0.256,65
23668,0.542,0.544,0.503,0.558,0.531,0.501,14
23669,0.542,0.402,0.527,0.467,0.431,0.408,50
23670,0.542,0.396,0.424,0.473,0.395,0.41,50
23671,0.542,0.513,0.728,0.734,0.557,0.481,60
23672,0.542,0.284,0.506,0.412,0.41,0.358,28
23673,0.542,0.482,0.611,0.497,0.476,0.569,14
23674,0.542,0.432,0.59,0.62,0.483,0.541,14
23675,0.542,0.318,0.486,0.492,0.308,0.352,28
23676,0.542,0.553,0.369,0.428,0.42,0.425,50
23677,0.542,0.409,0.342,0.377,0.436,0.363,50
23678,0.542,0.538,0.452,0.305,0.461,0.338,50
23679,0.542,0.551,0.494,0.531,0.546,0.515,14
23680,0.542,0.42,0.521,0.492,0.461,0.395,50
23681,0.542,0.519,0.391,0.526,0.517,0.485,14
23682,0.542,0.622,0.741,0.601,0.562,0.52,47
23683,0.542,0.548,0.512,0.44,0.483,0.526,14
23684,0.542,0.622,0.614,0.583,0.539,0.53,47
23685,0.542,0.486,0.645,0.514,0.488,0.47,14
23686,0.542,0.341,0.47,0.364,0.389,0.328,28
23687,0.542,0.381,0.576,0.615,0.549,0.489,14
23688,0.542,0.407,0.383,0.402,0.308,0.401,28
23689,0.542,0.505,0.664,0.558,0.571,0.608,47
23690,0.542,0.535,0.496,0.533,0.517,0.49,14
23691,0.542,0.576,0.501,0.551,0.534,0.521,14
23692,0.542,0.456,0.497,0.467,0.432,0.434,50
23693,0.542,0.478,0.515,0.576,0.511,0.477,14
23694,0.543,0.515,0.521,0.466,0.477,0.545,14
23695,0.543,0.574,0.319,0.39,0.449,0.531,18
23696,0.543,0.323,0.446,0.361,0.31,0.23,12
23697,0.543,0.682,0.804,0.747,0.497,0.314,56
23698,0.543,0.226,0.234,0.253,0.242,0.24,29
23699,0.543,0.222,0.197,0.105,0.089,0.07,19
23700,0.543,0.314,0.392,0.406,0.356,0.354,28
23701,0.543,0.66,0.366,0.5,0.52,0.728,55
23702,0.543,0.546,0.704,0.681,0.663,0.693,32
23703,0.543,0.406,0.387,0.551,0.448,0.389,50
23704,0.543,0.4,0.49,0.484,0.312,0.308,28
23705,0.543,0.541,0.565,0.634,0.602,0.605,47
23706,0.543,0.325,0.472,0.481,0.524,0.453,50
23707,0.543,0.29,0.251,0.408,0.443,0.523,50
23708,0.543,0.579,0.542,0.561,0.362,0.413,50
23709,0.543,0.813,0.473,0.53,0.526,0.408,26
23710,0.543,0.516,0.515,0.68,0.621,0.521,47
23711,0.543,0.43,0.469,0.568,0.539,0.561,14
23712,0.543,0.366,0.826,0.77,0.616,0.607,70
23713,0.543,0.405,0.39,0.476,0.434,0.421,50
23714,0.543,0.624,0.333,0.521,0.548,0.438,14
23715,0.543,0.625,0.672,0.667,0.49,0.496,47
23716,0.543,0.411,0.444,0.593,0.453,0.381,50
23717,0.543,0.567,0.409,0.398,0.517,0.5,14
23718,0.543,0.696,0.426,0.504,0.263,0.421,31
23719,0.543,0.49,0.492,0.586,0.58,0.508,14
23720,0.543,0.782,0.358,0.44,0.875,0.586,63
23721,0.543,0.626,0.457,0.672,0.622,0.464,47
23722,0.543,0.606,0.548,0.441,0.499,0.449,14
23723,0.543,0.459,0.53,0.486,0.533,0.522,14
23724,0.543,0.64,0.429,0.492,0.563,0.544,55
23725,0.543,0.541,0.468,0.421,0.349,0.404,50
23726,0.543,0.568,0.543,0.582,0.569,0.48,14
23727,0.543,0.542,0.573,0.434,0.393,0.383,50
23728,0.543,0.482,0.379,0.543,0.502,0.456,14
23729,0.543,0.518,0.517,0.512,0.492,0.414,14
23730,0.543,0.454,0.69,0.602,0.474,0.453,14
23731,0.543,0.413,0.342,0.541,0.518,0.582,14
23732,0.543,0.438,0.459,0.476,0.464,0.454,50
23733,0.543,0.36,0.695,0.314,0.244,0.371,34
23734,0.543,0.517,0.697,0.367,0.442,0.516,14
23735,0.543,0.377,0.413,0.427,0.434,0.442,50
23736,0.543,0.479,0.612,0.549,0.561,0.577,14
23737,0.543,0.409,0.404,0.389,0.373,0.391,50
23738,0.543,0.553,0.624,0.509,0.241,0.244,37
23739,0.543,0.421,0.616,0.522,0.57,0.506,14
23740,0.543,0.672,0.456,0.482,0.373,0.146,37
23741,0.543,0.305,0.573,0.598,0.564,0.615,25
23742,0.543,0.482,0.576,0.437,0.512,0.52,14
23743,0.543,0.217,0.668,0.495,0.323,0.221,67
23744,0.543,0.485,0.451,0.681,0.45,0.413,14
23745,0.543,0.552,0.623,0.714,0.731,0.667,32
23746,0.543,0.635,0.681,0.735,0.753,0.772,23
23747,0.543,0.366,0.389,0.352,0.376,0.368,28
23748,0.543,0.557,0.479,0.527,0.49,0.493,14
23749,0.543,0.407,0.503,0.563,0.413,0.4,50
23750,0.543,0.582,0.399,0.471,0.388,0.258,37
23751,0.543,0.496,0.563,0.558,0.513,0.24,50
23752,0.543,0.687,0.323,0.406,0.561,0.596,55
23753,0.543,0.535,0.428,0.537,0.551,0.522,14
23754,0.543,0.449,0.687,0.661,0.645,0.625,70
23755,0.543,0.543,0.526,0.48,0.356,0.232,37
23756,0.543,0.493,0.557,0.579,0.468,0.47,14
23757,0.543,0.409,0.446,0.455,0.46,0.4,50
23758,0.543,0.485,0.641,0.577,0.508,0.492,14
23759,0.543,0.323,0.632,0.744,0.55,0.475,60
23760,0.543,0.559,0.542,0.496,0.552,0.497,14
23761,0.543,0.399,0.466,0.558,0.567,0.46,14
23762,0.543,0.507,0.493,0.495,0.494,0.485,14
23763,0.544,0.63,0.601,0.681,0.658,0.627,32
23764,0.544,0.366,0.396,0.57,0.618,0.537,14
23765,0.544,0.414,0.44,0.679,0.695,0.707,22
23766,0.544,0.541,0.579,0.616,0.568,0.558,47
23767,0.544,0.388,0.569,0.405,0.373,0.455,50
23768,0.544,0.485,0.484,0.496,0.461,0.46,14
23769,0.544,0.454,0.375,0.477,0.461,0.474,50
23770,0.544,0.574,0.509,0.641,0.592,0.528,47
23771,0.544,0.57,0.527,0.495,0.462,0.432,14
23772,0.544,0.595,0.265,0.397,0.243,0.111,37
23773,0.544,0.541,0.606,0.545,0.497,0.481,14
23774,0.544,0.65,0.543,0.584,0.719,0.769,32
23775,0.544,0.453,0.664,0.611,0.444,0.452,14
23776,0.544,0.496,0.548,0.587,0.522,0.452,14
23777,0.544,0.414,0.248,0.319,0.455,0.255,28
23778,0.544,0.554,0.594,0.596,0.537,0.481,14
23779,0.544,0.498,0.405,0.519,0.505,0.483,14
23780,0.544,0.377,0.356,0.419,0.408,0.357,28
23781,0.544,0.471,0.455,0.539,0.442,0.413,50
23782,0.544,0.465,0.512,0.568,0.688,0.571,66
23783,0.544,0.552,0.517,0.748,0.553,0.457,47
23784,0.544,0.558,0.698,0.653,0.55,0.633,47
23785,0.544,0.43,0.65,0.573,0.366,0.4,49
23786,0.544,0.484,0.542,0.54,0.456,0.445,14
23787,0.544,0.514,0.342,0.418,0.421,0.568,50
23788,0.544,0.471,0.444,0.407,0.369,0.306,28
23789,0.544,0.463,0.392,0.411,0.439,0.375,50
23790,0.544,0.646,0.609,0.488,0.413,0.404,31
23791,0.544,0.37,0.496,0.613,0.419,0.308,24
23792,0.544,0.481,0.502,0.48,0.484,0.435,14
23793,0.544,0.625,0.443,0.431,0.453,0.519,31
23794,0.544,0.486,0.523,0.533,0.54,0.465,14
23795,0.544,0.479,0.484,0.449,0.489,0.469,14
23796,0.544,0.476,0.733,0.659,0.643,0.531,70
23797,0.544,0.496,0.403,0.517,0.454,0.422,50
23798,0.544,0.721,0.442,0.492,0.647,0.551,55
23799,0.544,0.484,0.565,0.609,0.406,0.453,14
23800,0.544,0.417,0.652,0.641,0.635,0.585,66
23801,0.544,0.533,0.783,0.602,0.562,0.561,47
23802,0.544,0.607,0.37,0.617,0.592,0.579,47
23803,0.544,0.362,0.323,0.355,0.456,0.386,50
23804,0.544,0.563,0.498,0.483,0.513,0.5,14
23805,0.544,0.281,0.893,0.65,0.391,0.468,49
23806,0.544,0.308,0.375,0.386,0.38,0.504,50
23807,0.544,0.568,0.574,0.392,0.4,0.484,14
23808,0.544,0.744,0.718,0.65,0.637,0.519,59
23809,0.544,0.441,0.829,0.706,0.363,0.293,49
23810,0.544,0.417,0.759,0.624,0.486,0.426,60
23811,0.544,0.538,0.395,0.433,0.462,0.464,14
23812,0.544,0.447,0.562,0.54,0.468,0.415,14
23813,0.544,0.513,0.457,0.433,0.462,0.46,14
23814,0.544,0.565,0.541,0.528,0.523,0.6,14
23815,0.544,0.457,0.572,0.555,0.527,0.537,14
23816,0.544,0.521,0.437,0.46,0.472,0.504,14
23817,0.544,0.593,0.74,0.872,0.588,0.554,70
23818,0.544,0.459,0.46,0.534,0.56,0.529,14
23819,0.544,0.656,0.563,0.545,0.645,0.572,47
23820,0.544,0.656,0.441,0.418,0.45,0.22,37
23821,0.544,0.484,0.428,0.489,0.5,0.489,14
23822,0.544,0.456,0.728,0.663,0.54,0.566,60
23823,0.544,0.407,0.517,0.808,0.426,0.429,24
23824,0.544,0.599,0.618,0.832,0.713,0.603,23
23825,0.544,0.523,0.606,0.416,0.366,0.626,14
23826,0.544,0.286,0.347,0.355,0.324,0.262,28
23827,0.544,0.652,0.55,0.375,0.571,0.46,14
23828,0.544,0.784,0.67,0.648,0.475,0.556,26
23829,0.544,0.461,0.565,0.471,0.495,0.449,14
23830,0.544,0.575,0.464,0.617,0.405,0.5,14
23831,0.544,0.56,0.752,0.665,0.545,0.512,60
23832,0.544,0.515,0.511,0.505,0.519,0.43,14
23833,0.544,0.665,0.48,0.458,0.486,0.53,14
23834,0.544,0.457,0.28,0.421,0.442,0.403,50
23835,0.544,0.605,0.652,0.554,0.67,0.575,47
23836,0.545,0.415,0.399,0.412,0.44,0.389,50
23837,0.545,0.468,0.453,0.488,0.516,0.492,14
23838,0.545,0.587,0.53,0.564,0.63,0.607,47
23839,0.545,0.442,0.445,0.493,0.43,0.433,50
23840,0.545,0.437,0.436,0.466,0.442,0.501,50
23841,0.545,0.529,0.536,0.469,0.549,0.501,14
23842,0.545,0.546,0.354,0.22,0.54,0.492,18
23843,0.545,0.474,0.389,0.496,0.35,0.549,50
23844,0.545,0.739,0.66,0.559,0.574,0.483,47
23845,0.545,0.461,0.597,0.543,0.6,0.535,14
23846,0.545,0.584,0.619,0.575,0.503,0.463,14
23847,0.545,0.474,0.537,0.481,0.471,0.477,14
23848,0.545,0.63,0.517,0.522,0.535,0.587,47
23849,0.545,0.429,0.707,0.48,0.416,0.427,50
23850,0.545,0.419,0.584,0.524,0.382,0.395,50
23851,0.545,0.561,0.477,0.463,0.415,0.463,14
23852,0.545,0.56,0.352,0.233,0.519,0.537,18
